カード1,カード2,カード3,カード1属性,カード2属性,カード3属性
1,38,48,"三角,1,赤,中白","ハート,3,緑,中同色","丸,2,紫,中無"
1,39,47,"三角,1,赤,中白","丸,2,緑,中同色","ハート,3,紫,中無"
1,40,52,"三角,1,赤,中白","丸,3,緑,中同色","ハート,2,紫,中無"
1,41,54,"三角,1,赤,中白","三角,2,緑,中同色","三角,3,紫,中無"
1,42,53,"三角,1,赤,中白","ハート,1,緑,中同色","丸,1,紫,中無"
1,43,49,"三角,1,赤,中白","ハート,2,緑,中同色","丸,3,紫,中無"
1,44,51,"三角,1,赤,中白","丸,1,緑,中同色","ハート,1,紫,中無"
1,45,50,"三角,1,赤,中白","三角,3,緑,中同色","三角,2,紫,中無"
1,46,37,"三角,1,赤,中白","三角,1,紫,中無","三角,1,緑,中同色"
1,47,39,"三角,1,赤,中白","ハート,3,紫,中無","丸,2,緑,中同色"
1,48,38,"三角,1,赤,中白","丸,2,紫,中無","ハート,3,緑,中同色"
1,49,43,"三角,1,赤,中白","丸,3,紫,中無","ハート,2,緑,中同色"
1,50,45,"三角,1,赤,中白","三角,2,紫,中無","三角,3,緑,中同色"
1,51,44,"三角,1,赤,中白","ハート,1,紫,中無","丸,1,緑,中同色"
1,52,40,"三角,1,赤,中白","ハート,2,紫,中無","丸,3,緑,中同色"
1,53,42,"三角,1,赤,中白","丸,1,紫,中無","ハート,1,緑,中同色"
1,54,41,"三角,1,赤,中白","三角,3,紫,中無","三角,2,緑,中同色"
1,55,28,"三角,1,赤,中白","三角,1,紫,中白","三角,1,緑,中白"
1,56,30,"三角,1,赤,中白","ハート,3,紫,中白","丸,2,緑,中白"
1,57,29,"三角,1,赤,中白","丸,2,紫,中白","ハート,3,緑,中白"
1,58,34,"三角,1,赤,中白","丸,3,紫,中白","ハート,2,緑,中白"
1,59,36,"三角,1,赤,中白","三角,2,紫,中白","三角,3,緑,中白"
1,60,35,"三角,1,赤,中白","ハート,1,紫,中白","丸,1,緑,中白"
1,61,31,"三角,1,赤,中白","ハート,2,紫,中白","丸,3,緑,中白"
1,62,33,"三角,1,赤,中白","丸,1,紫,中白","ハート,1,緑,中白"
1,63,32,"三角,1,赤,中白","三角,3,紫,中白","三角,2,緑,中白"
1,64,19,"三角,1,赤,中白","三角,1,紫,中同色","三角,1,緑,中無"
1,65,21,"三角,1,赤,中白","ハート,3,紫,中同色","丸,2,緑,中無"
1,66,20,"三角,1,赤,中白","丸,2,紫,中同色","ハート,3,緑,中無"
1,67,25,"三角,1,赤,中白","丸,3,紫,中同色","ハート,2,緑,中無"
1,68,27,"三角,1,赤,中白","三角,2,紫,中同色","三角,3,緑,中無"
1,69,26,"三角,1,赤,中白","ハート,1,紫,中同色","丸,1,緑,中無"
1,70,22,"三角,1,赤,中白","ハート,2,紫,中同色","丸,3,緑,中無"
1,71,24,"三角,1,赤,中白","丸,1,紫,中同色","ハート,1,緑,中無"
1,72,23,"三角,1,赤,中白","三角,3,紫,中同色","三角,2,緑,中無"
1,73,10,"三角,1,赤,中白","三角,1,赤,中無","三角,1,赤,中同色"
1,74,12,"三角,1,赤,中白","ハート,3,赤,中無","丸,2,赤,中同色"
1,75,11,"三角,1,赤,中白","丸,2,赤,中無","ハート,3,赤,中同色"
1,76,16,"三角,1,赤,中白","丸,3,赤,中無","ハート,2,赤,中同色"
1,77,18,"三角,1,赤,中白","三角,2,赤,中無","三角,3,赤,中同色"
1,78,17,"三角,1,赤,中白","ハート,1,赤,中無","丸,1,赤,中同色"
1,79,13,"三角,1,赤,中白","ハート,2,赤,中無","丸,3,赤,中同色"
1,80,15,"三角,1,赤,中白","丸,1,赤,中無","ハート,1,赤,中同色"
1,81,14,"三角,1,赤,中白","三角,3,赤,中無","三角,2,赤,中同色"
2,3,1,"ハート,3,赤,中白","丸,2,赤,中白","三角,1,赤,中白"
2,4,9,"ハート,3,赤,中白","丸,3,赤,中白","三角,3,赤,中白"
2,5,8,"ハート,3,赤,中白","三角,2,赤,中白","丸,1,赤,中白"
2,6,7,"ハート,3,赤,中白","ハート,1,赤,中白","ハート,2,赤,中白"
2,7,6,"ハート,3,赤,中白","ハート,2,赤,中白","ハート,1,赤,中白"
2,8,5,"ハート,3,赤,中白","丸,1,赤,中白","三角,2,赤,中白"
2,9,4,"ハート,3,赤,中白","三角,3,赤,中白","丸,3,赤,中白"
2,10,75,"ハート,3,赤,中白","三角,1,赤,中同色","丸,2,赤,中無"
2,11,74,"ハート,3,赤,中白","ハート,3,赤,中同色","ハート,3,赤,中無"
2,12,73,"ハート,3,赤,中白","丸,2,赤,中同色","三角,1,赤,中無"
2,13,81,"ハート,3,赤,中白","丸,3,赤,中同色","三角,3,赤,中無"
2,14,80,"ハート,3,赤,中白","三角,2,赤,中同色","丸,1,赤,中無"
2,15,79,"ハート,3,赤,中白","ハート,1,赤,中同色","ハート,2,赤,中無"
2,16,78,"ハート,3,赤,中白","ハート,2,赤,中同色","ハート,1,赤,中無"
2,17,77,"ハート,3,赤,中白","丸,1,赤,中同色","三角,2,赤,中無"
2,18,76,"ハート,3,赤,中白","三角,3,赤,中同色","丸,3,赤,中無"
2,19,66,"ハート,3,赤,中白","三角,1,緑,中無","丸,2,紫,中同色"
2,20,65,"ハート,3,赤,中白","ハート,3,緑,中無","ハート,3,紫,中同色"
2,21,64,"ハート,3,赤,中白","丸,2,緑,中無","三角,1,紫,中同色"
2,22,72,"ハート,3,赤,中白","丸,3,緑,中無","三角,3,紫,中同色"
2,23,71,"ハート,3,赤,中白","三角,2,緑,中無","丸,1,紫,中同色"
2,24,70,"ハート,3,赤,中白","ハート,1,緑,中無","ハート,2,紫,中同色"
2,25,69,"ハート,3,赤,中白","ハート,2,緑,中無","ハート,1,紫,中同色"
2,26,68,"ハート,3,赤,中白","丸,1,緑,中無","三角,2,紫,中同色"
2,27,67,"ハート,3,赤,中白","三角,3,緑,中無","丸,3,紫,中同色"
2,28,57,"ハート,3,赤,中白","三角,1,緑,中白","丸,2,紫,中白"
2,29,56,"ハート,3,赤,中白","ハート,3,緑,中白","ハート,3,紫,中白"
2,30,55,"ハート,3,赤,中白","丸,2,緑,中白","三角,1,紫,中白"
2,31,63,"ハート,3,赤,中白","丸,3,緑,中白","三角,3,紫,中白"
2,32,62,"ハート,3,赤,中白","三角,2,緑,中白","丸,1,紫,中白"
2,33,61,"ハート,3,赤,中白","ハート,1,緑,中白","ハート,2,紫,中白"
2,34,60,"ハート,3,赤,中白","ハート,2,緑,中白","ハート,1,紫,中白"
2,35,59,"ハート,3,赤,中白","丸,1,緑,中白","三角,2,紫,中白"
2,36,58,"ハート,3,赤,中白","三角,3,緑,中白","丸,3,紫,中白"
2,37,48,"ハート,3,赤,中白","三角,1,緑,中同色","丸,2,紫,中無"
2,38,47,"ハート,3,赤,中白","ハート,3,緑,中同色","ハート,3,紫,中無"
2,39,46,"ハート,3,赤,中白","丸,2,緑,中同色","三角,1,紫,中無"
2,40,54,"ハート,3,赤,中白","丸,3,緑,中同色","三角,3,紫,中無"
2,41,53,"ハート,3,赤,中白","三角,2,緑,中同色","丸,1,紫,中無"
2,42,52,"ハート,3,赤,中白","ハート,1,緑,中同色","ハート,2,紫,中無"
2,43,51,"ハート,3,赤,中白","ハート,2,緑,中同色","ハート,1,紫,中無"
2,44,50,"ハート,3,赤,中白","丸,1,緑,中同色","三角,2,紫,中無"
2,45,49,"ハート,3,赤,中白","三角,3,緑,中同色","丸,3,紫,中無"
2,46,39,"ハート,3,赤,中白","三角,1,紫,中無","丸,2,緑,中同色"
2,47,38,"ハート,3,赤,中白","ハート,3,紫,中無","ハート,3,緑,中同色"
2,48,37,"ハート,3,赤,中白","丸,2,紫,中無","三角,1,緑,中同色"
2,49,45,"ハート,3,赤,中白","丸,3,紫,中無","三角,3,緑,中同色"
2,50,44,"ハート,3,赤,中白","三角,2,紫,中無","丸,1,緑,中同色"
2,51,43,"ハート,3,赤,中白","ハート,1,紫,中無","ハート,2,緑,中同色"
2,52,42,"ハート,3,赤,中白","ハート,2,紫,中無","ハート,1,緑,中同色"
2,53,41,"ハート,3,赤,中白","丸,1,紫,中無","三角,2,緑,中同色"
2,54,40,"ハート,3,赤,中白","三角,3,紫,中無","丸,3,緑,中同色"
2,55,30,"ハート,3,赤,中白","三角,1,紫,中白","丸,2,緑,中白"
2,56,29,"ハート,3,赤,中白","ハート,3,紫,中白","ハート,3,緑,中白"
2,57,28,"ハート,3,赤,中白","丸,2,紫,中白","三角,1,緑,中白"
2,58,36,"ハート,3,赤,中白","丸,3,紫,中白","三角,3,緑,中白"
2,59,35,"ハート,3,赤,中白","三角,2,紫,中白","丸,1,緑,中白"
2,60,34,"ハート,3,赤,中白","ハート,1,紫,中白","ハート,2,緑,中白"
2,61,33,"ハート,3,赤,中白","ハート,2,紫,中白","ハート,1,緑,中白"
2,62,32,"ハート,3,赤,中白","丸,1,紫,中白","三角,2,緑,中白"
2,63,31,"ハート,3,赤,中白","三角,3,紫,中白","丸,3,緑,中白"
2,64,21,"ハート,3,赤,中白","三角,1,紫,中同色","丸,2,緑,中無"
2,65,20,"ハート,3,赤,中白","ハート,3,紫,中同色","ハート,3,緑,中無"
2,66,19,"ハート,3,赤,中白","丸,2,紫,中同色","三角,1,緑,中無"
2,67,27,"ハート,3,赤,中白","丸,3,紫,中同色","三角,3,緑,中無"
2,68,26,"ハート,3,赤,中白","三角,2,紫,中同色","丸,1,緑,中無"
2,69,25,"ハート,3,赤,中白","ハート,1,紫,中同色","ハート,2,緑,中無"
2,70,24,"ハート,3,赤,中白","ハート,2,紫,中同色","ハート,1,緑,中無"
2,71,23,"ハート,3,赤,中白","丸,1,紫,中同色","三角,2,緑,中無"
2,72,22,"ハート,3,赤,中白","三角,3,紫,中同色","丸,3,緑,中無"
2,73,12,"ハート,3,赤,中白","三角,1,赤,中無","丸,2,赤,中同色"
2,74,11,"ハート,3,赤,中白","ハート,3,赤,中無","ハート,3,赤,中同色"
2,75,10,"ハート,3,赤,中白","丸,2,赤,中無","三角,1,赤,中同色"
2,76,18,"ハート,3,赤,中白","丸,3,赤,中無","三角,3,赤,中同色"
2,77,17,"ハート,3,赤,中白","三角,2,赤,中無","丸,1,赤,中同色"
2,78,16,"ハート,3,赤,中白","ハート,1,赤,中無","ハート,2,赤,中同色"
2,79,15,"ハート,3,赤,中白","ハート,2,赤,中無","ハート,1,赤,中同色"
2,80,14,"ハート,3,赤,中白","丸,1,赤,中無","三角,2,赤,中同色"
2,81,13,"ハート,3,赤,中白","三角,3,赤,中無","丸,3,赤,中同色"
3,4,8,"丸,2,赤,中白","丸,3,赤,中白","丸,1,赤,中白"
3,5,7,"丸,2,赤,中白","三角,2,赤,中白","ハート,2,赤,中白"
3,6,9,"丸,2,赤,中白","ハート,1,赤,中白","三角,3,赤,中白"
3,7,5,"丸,2,赤,中白","ハート,2,赤,中白","三角,2,赤,中白"
3,8,4,"丸,2,赤,中白","丸,1,赤,中白","丸,3,赤,中白"
3,9,6,"丸,2,赤,中白","三角,3,赤,中白","ハート,1,赤,中白"
3,10,74,"丸,2,赤,中白","三角,1,赤,中同色","ハート,3,赤,中無"
3,11,73,"丸,2,赤,中白","ハート,3,赤,中同色","三角,1,赤,中無"
3,12,75,"丸,2,赤,中白","丸,2,赤,中同色","丸,2,赤,中無"
3,13,80,"丸,2,赤,中白","丸,3,赤,中同色","丸,1,赤,中無"
3,14,79,"丸,2,赤,中白","三角,2,赤,中同色","ハート,2,赤,中無"
3,15,81,"丸,2,赤,中白","ハート,1,赤,中同色","三角,3,赤,中無"
3,16,77,"丸,2,赤,中白","ハート,2,赤,中同色","三角,2,赤,中無"
3,17,76,"丸,2,赤,中白","丸,1,赤,中同色","丸,3,赤,中無"
3,18,78,"丸,2,赤,中白","三角,3,赤,中同色","ハート,1,赤,中無"
3,19,65,"丸,2,赤,中白","三角,1,緑,中無","ハート,3,紫,中同色"
3,20,64,"丸,2,赤,中白","ハート,3,緑,中無","三角,1,紫,中同色"
3,21,66,"丸,2,赤,中白","丸,2,緑,中無","丸,2,紫,中同色"
3,22,71,"丸,2,赤,中白","丸,3,緑,中無","丸,1,紫,中同色"
3,23,70,"丸,2,赤,中白","三角,2,緑,中無","ハート,2,紫,中同色"
3,24,72,"丸,2,赤,中白","ハート,1,緑,中無","三角,3,紫,中同色"
3,25,68,"丸,2,赤,中白","ハート,2,緑,中無","三角,2,紫,中同色"
3,26,67,"丸,2,赤,中白","丸,1,緑,中無","丸,3,紫,中同色"
3,27,69,"丸,2,赤,中白","三角,3,緑,中無","ハート,1,紫,中同色"
3,28,56,"丸,2,赤,中白","三角,1,緑,中白","ハート,3,紫,中白"
3,29,55,"丸,2,赤,中白","ハート,3,緑,中白","三角,1,紫,中白"
3,30,57,"丸,2,赤,中白","丸,2,緑,中白","丸,2,紫,中白"
3,31,62,"丸,2,赤,中白","丸,3,緑,中白","丸,1,紫,中白"
3,32,61,"丸,2,赤,中白","三角,2,緑,中白","ハート,2,紫,中白"
3,33,63,"丸,2,赤,中白","ハート,1,緑,中白","三角,3,紫,中白"
3,34,59,"丸,2,赤,中白","ハート,2,緑,中白","三角,2,紫,中白"
3,35,58,"丸,2,赤,中白","丸,1,緑,中白","丸,3,紫,中白"
3,36,60,"丸,2,赤,中白","三角,3,緑,中白","ハート,1,紫,中白"
3,37,47,"丸,2,赤,中白","三角,1,緑,中同色","ハート,3,紫,中無"
3,38,46,"丸,2,赤,中白","ハート,3,緑,中同色","三角,1,紫,中無"
3,39,48,"丸,2,赤,中白","丸,2,緑,中同色","丸,2,紫,中無"
3,40,53,"丸,2,赤,中白","丸,3,緑,中同色","丸,1,紫,中無"
3,41,52,"丸,2,赤,中白","三角,2,緑,中同色","ハート,2,紫,中無"
3,42,54,"丸,2,赤,中白","ハート,1,緑,中同色","三角,3,紫,中無"
3,43,50,"丸,2,赤,中白","ハート,2,緑,中同色","三角,2,紫,中無"
3,44,49,"丸,2,赤,中白","丸,1,緑,中同色","丸,3,紫,中無"
3,45,51,"丸,2,赤,中白","三角,3,緑,中同色","ハート,1,紫,中無"
3,46,38,"丸,2,赤,中白","三角,1,紫,中無","ハート,3,緑,中同色"
3,47,37,"丸,2,赤,中白","ハート,3,紫,中無","三角,1,緑,中同色"
3,48,39,"丸,2,赤,中白","丸,2,紫,中無","丸,2,緑,中同色"
3,49,44,"丸,2,赤,中白","丸,3,紫,中無","丸,1,緑,中同色"
3,50,43,"丸,2,赤,中白","三角,2,紫,中無","ハート,2,緑,中同色"
3,51,45,"丸,2,赤,中白","ハート,1,紫,中無","三角,3,緑,中同色"
3,52,41,"丸,2,赤,中白","ハート,2,紫,中無","三角,2,緑,中同色"
3,53,40,"丸,2,赤,中白","丸,1,紫,中無","丸,3,緑,中同色"
3,54,42,"丸,2,赤,中白","三角,3,紫,中無","ハート,1,緑,中同色"
3,55,29,"丸,2,赤,中白","三角,1,紫,中白","ハート,3,緑,中白"
3,56,28,"丸,2,赤,中白","ハート,3,紫,中白","三角,1,緑,中白"
3,57,30,"丸,2,赤,中白","丸,2,紫,中白","丸,2,緑,中白"
3,58,35,"丸,2,赤,中白","丸,3,紫,中白","丸,1,緑,中白"
3,59,34,"丸,2,赤,中白","三角,2,紫,中白","ハート,2,緑,中白"
3,60,36,"丸,2,赤,中白","ハート,1,紫,中白","三角,3,緑,中白"
3,61,32,"丸,2,赤,中白","ハート,2,紫,中白","三角,2,緑,中白"
3,62,31,"丸,2,赤,中白","丸,1,紫,中白","丸,3,緑,中白"
3,63,33,"丸,2,赤,中白","三角,3,紫,中白","ハート,1,緑,中白"
3,64,20,"丸,2,赤,中白","三角,1,紫,中同色","ハート,3,緑,中無"
3,65,19,"丸,2,赤,中白","ハート,3,紫,中同色","三角,1,緑,中無"
3,66,21,"丸,2,赤,中白","丸,2,紫,中同色","丸,2,緑,中無"
3,67,26,"丸,2,赤,中白","丸,3,紫,中同色","丸,1,緑,中無"
3,68,25,"丸,2,赤,中白","三角,2,紫,中同色","ハート,2,緑,中無"
3,69,27,"丸,2,赤,中白","ハート,1,紫,中同色","三角,3,緑,中無"
3,70,23,"丸,2,赤,中白","ハート,2,紫,中同色","三角,2,緑,中無"
3,71,22,"丸,2,赤,中白","丸,1,紫,中同色","丸,3,緑,中無"
3,72,24,"丸,2,赤,中白","三角,3,紫,中同色","ハート,1,緑,中無"
3,73,11,"丸,2,赤,中白","三角,1,赤,中無","ハート,3,赤,中同色"
3,74,10,"丸,2,赤,中白","ハート,3,赤,中無","三角,1,赤,中同色"
3,75,12,"丸,2,赤,中白","丸,2,赤,中無","丸,2,赤,中同色"
3,76,17,"丸,2,赤,中白","丸,3,赤,中無","丸,1,赤,中同色"
3,77,16,"丸,2,赤,中白","三角,2,赤,中無","ハート,2,赤,中同色"
3,78,18,"丸,2,赤,中白","ハート,1,赤,中無","三角,3,赤,中同色"
3,79,14,"丸,2,赤,中白","ハート,2,赤,中無","三角,2,赤,中同色"
3,80,13,"丸,2,赤,中白","丸,1,赤,中無","丸,3,赤,中同色"
3,81,15,"丸,2,赤,中白","三角,3,赤,中無","ハート,1,赤,中同色"
4,5,6,"丸,3,赤,中白","三角,2,赤,中白","ハート,1,赤,中白"
4,6,5,"丸,3,赤,中白","ハート,1,赤,中白","三角,2,赤,中白"
4,7,1,"丸,3,赤,中白","ハート,2,赤,中白","三角,1,赤,中白"
4,8,3,"丸,3,赤,中白","丸,1,赤,中白","丸,2,赤,中白"
4,9,2,"丸,3,赤,中白","三角,3,赤,中白","ハート,3,赤,中白"
4,10,79,"丸,3,赤,中白","三角,1,赤,中同色","ハート,2,赤,中無"
4,11,81,"丸,3,赤,中白","ハート,3,赤,中同色","三角,3,赤,中無"
4,12,80,"丸,3,赤,中白","丸,2,赤,中同色","丸,1,赤,中無"
4,13,76,"丸,3,赤,中白","丸,3,赤,中同色","丸,3,赤,中無"
4,14,78,"丸,3,赤,中白","三角,2,赤,中同色","ハート,1,赤,中無"
4,15,77,"丸,3,赤,中白","ハート,1,赤,中同色","三角,2,赤,中無"
4,16,73,"丸,3,赤,中白","ハート,2,赤,中同色","三角,1,赤,中無"
4,17,75,"丸,3,赤,中白","丸,1,赤,中同色","丸,2,赤,中無"
4,18,74,"丸,3,赤,中白","三角,3,赤,中同色","ハート,3,赤,中無"
4,19,70,"丸,3,赤,中白","三角,1,緑,中無","ハート,2,紫,中同色"
4,20,72,"丸,3,赤,中白","ハート,3,緑,中無","三角,3,紫,中同色"
4,21,71,"丸,3,赤,中白","丸,2,緑,中無","丸,1,紫,中同色"
4,22,67,"丸,3,赤,中白","丸,3,緑,中無","丸,3,紫,中同色"
4,23,69,"丸,3,赤,中白","三角,2,緑,中無","ハート,1,紫,中同色"
4,24,68,"丸,3,赤,中白","ハート,1,緑,中無","三角,2,紫,中同色"
4,25,64,"丸,3,赤,中白","ハート,2,緑,中無","三角,1,紫,中同色"
4,26,66,"丸,3,赤,中白","丸,1,緑,中無","丸,2,紫,中同色"
4,27,65,"丸,3,赤,中白","三角,3,緑,中無","ハート,3,紫,中同色"
4,28,61,"丸,3,赤,中白","三角,1,緑,中白","ハート,2,紫,中白"
4,29,63,"丸,3,赤,中白","ハート,3,緑,中白","三角,3,紫,中白"
4,30,62,"丸,3,赤,中白","丸,2,緑,中白","丸,1,紫,中白"
4,31,58,"丸,3,赤,中白","丸,3,緑,中白","丸,3,紫,中白"
4,32,60,"丸,3,赤,中白","三角,2,緑,中白","ハート,1,紫,中白"
4,33,59,"丸,3,赤,中白","ハート,1,緑,中白","三角,2,紫,中白"
4,34,55,"丸,3,赤,中白","ハート,2,緑,中白","三角,1,紫,中白"
4,35,57,"丸,3,赤,中白","丸,1,緑,中白","丸,2,紫,中白"
4,36,56,"丸,3,赤,中白","三角,3,緑,中白","ハート,3,紫,中白"
4,37,52,"丸,3,赤,中白","三角,1,緑,中同色","ハート,2,紫,中無"
4,38,54,"丸,3,赤,中白","ハート,3,緑,中同色","三角,3,紫,中無"
4,39,53,"丸,3,赤,中白","丸,2,緑,中同色","丸,1,紫,中無"
4,40,49,"丸,3,赤,中白","丸,3,緑,中同色","丸,3,紫,中無"
4,41,51,"丸,3,赤,中白","三角,2,緑,中同色","ハート,1,紫,中無"
4,42,50,"丸,3,赤,中白","ハート,1,緑,中同色","三角,2,紫,中無"
4,43,46,"丸,3,赤,中白","ハート,2,緑,中同色","三角,1,紫,中無"
4,44,48,"丸,3,赤,中白","丸,1,緑,中同色","丸,2,紫,中無"
4,45,47,"丸,3,赤,中白","三角,3,緑,中同色","ハート,3,紫,中無"
4,46,43,"丸,3,赤,中白","三角,1,紫,中無","ハート,2,緑,中同色"
4,47,45,"丸,3,赤,中白","ハート,3,紫,中無","三角,3,緑,中同色"
4,48,44,"丸,3,赤,中白","丸,2,紫,中無","丸,1,緑,中同色"
4,49,40,"丸,3,赤,中白","丸,3,紫,中無","丸,3,緑,中同色"
4,50,42,"丸,3,赤,中白","三角,2,紫,中無","ハート,1,緑,中同色"
4,51,41,"丸,3,赤,中白","ハート,1,紫,中無","三角,2,緑,中同色"
4,52,37,"丸,3,赤,中白","ハート,2,紫,中無","三角,1,緑,中同色"
4,53,39,"丸,3,赤,中白","丸,1,紫,中無","丸,2,緑,中同色"
4,54,38,"丸,3,赤,中白","三角,3,紫,中無","ハート,3,緑,中同色"
4,55,34,"丸,3,赤,中白","三角,1,紫,中白","ハート,2,緑,中白"
4,56,36,"丸,3,赤,中白","ハート,3,紫,中白","三角,3,緑,中白"
4,57,35,"丸,3,赤,中白","丸,2,紫,中白","丸,1,緑,中白"
4,58,31,"丸,3,赤,中白","丸,3,紫,中白","丸,3,緑,中白"
4,59,33,"丸,3,赤,中白","三角,2,紫,中白","ハート,1,緑,中白"
4,60,32,"丸,3,赤,中白","ハート,1,紫,中白","三角,2,緑,中白"
4,61,28,"丸,3,赤,中白","ハート,2,紫,中白","三角,1,緑,中白"
4,62,30,"丸,3,赤,中白","丸,1,紫,中白","丸,2,緑,中白"
4,63,29,"丸,3,赤,中白","三角,3,紫,中白","ハート,3,緑,中白"
4,64,25,"丸,3,赤,中白","三角,1,紫,中同色","ハート,2,緑,中無"
4,65,27,"丸,3,赤,中白","ハート,3,紫,中同色","三角,3,緑,中無"
4,66,26,"丸,3,赤,中白","丸,2,紫,中同色","丸,1,緑,中無"
4,67,22,"丸,3,赤,中白","丸,3,紫,中同色","丸,3,緑,中無"
4,68,24,"丸,3,赤,中白","三角,2,紫,中同色","ハート,1,緑,中無"
4,69,23,"丸,3,赤,中白","ハート,1,紫,中同色","三角,2,緑,中無"
4,70,19,"丸,3,赤,中白","ハート,2,紫,中同色","三角,1,緑,中無"
4,71,21,"丸,3,赤,中白","丸,1,紫,中同色","丸,2,緑,中無"
4,72,20,"丸,3,赤,中白","三角,3,紫,中同色","ハート,3,緑,中無"
4,73,16,"丸,3,赤,中白","三角,1,赤,中無","ハート,2,赤,中同色"
4,74,18,"丸,3,赤,中白","ハート,3,赤,中無","三角,3,赤,中同色"
4,75,17,"丸,3,赤,中白","丸,2,赤,中無","丸,1,赤,中同色"
4,76,13,"丸,3,赤,中白","丸,3,赤,中無","丸,3,赤,中同色"
4,77,15,"丸,3,赤,中白","三角,2,赤,中無","ハート,1,赤,中同色"
4,78,14,"丸,3,赤,中白","ハート,1,赤,中無","三角,2,赤,中同色"
4,79,10,"丸,3,赤,中白","ハート,2,赤,中無","三角,1,赤,中同色"
4,80,12,"丸,3,赤,中白","丸,1,赤,中無","丸,2,赤,中同色"
4,81,11,"丸,3,赤,中白","三角,3,赤,中無","ハート,3,赤,中同色"
5,6,4,"三角,2,赤,中白","ハート,1,赤,中白","丸,3,赤,中白"
5,7,3,"三角,2,赤,中白","ハート,2,赤,中白","丸,2,赤,中白"
5,8,2,"三角,2,赤,中白","丸,1,赤,中白","ハート,3,赤,中白"
5,9,1,"三角,2,赤,中白","三角,3,赤,中白","三角,1,赤,中白"
5,10,81,"三角,2,赤,中白","三角,1,赤,中同色","三角,3,赤,中無"
5,11,80,"三角,2,赤,中白","ハート,3,赤,中同色","丸,1,赤,中無"
5,12,79,"三角,2,赤,中白","丸,2,赤,中同色","ハート,2,赤,中無"
5,13,78,"三角,2,赤,中白","丸,3,赤,中同色","ハート,1,赤,中無"
5,14,77,"三角,2,赤,中白","三角,2,赤,中同色","三角,2,赤,中無"
5,15,76,"三角,2,赤,中白","ハート,1,赤,中同色","丸,3,赤,中無"
5,16,75,"三角,2,赤,中白","ハート,2,赤,中同色","丸,2,赤,中無"
5,17,74,"三角,2,赤,中白","丸,1,赤,中同色","ハート,3,赤,中無"
5,18,73,"三角,2,赤,中白","三角,3,赤,中同色","三角,1,赤,中無"
